True Labels,Predicted Labels,Original Overviews
"Drama, Romance","Comedy, Drama","When illness strikes two people who are polar opposites, life and death bring them together in surprising ways."
Western,"Action, Adventure, Drama, Western",Cattle baron John Chisum joins forces with Billy the Kid and Pat Garrett to fight the Lincoln County land war.
"Action, Horror, Thriller","Action, Adventure, Thriller","In the near future, society collapses and water becomes scarce. When a greedy water baron starts violently clearing out survivors, Kendal, a 17-year-old teenager, fights the baron's henchman to keep a well open."
"Drama, Romance","Comedy, Drama, Romance",A bad boy and a socialite girl hook-up.
"Drama, Romance","Drama, Romance","In a social context deteriorated by a countrywide economic crisis, the life of several people will be turned upside down after they meet Cécile, a character who symbolizes desire."
"Drama, Fantasy, Science Fiction","Action, Adventure, Science Fiction","When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake."
Action,"Action, Adventure, Thriller","An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner."
"Action, Adventure, Animation, Fantasy","Action, Adventure, Animation, Fantasy","Hell – A place where beings that have committed mortal sins during their lifetime are sent. It is a realm where even Soul Reapers are forbidden to interfere. When a group of vicious Sinners plot to escape from this eternal prison, they discover that Substitute Soul Reaper Ichigo Kurosaki is the key to their freedom."
"Horror, Mystery, Thriller","Horror, Thriller","Laura, traumatized by an abusive relationship, runs away from her former husband with her seven-year-old son Cody. But in their new, idyllic and remote sanctuary, they find they have another, bigger and more terrifying monster to deal with…"
"Drama, Romance","Comedy, Drama, Romance","In 18th century France, Marquise de Merteuil asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don’t go as planned."
"Horror, Thriller","Drama, Horror, Mystery, Thriller","When a young boy contracts a mysterious illness, his mother must decide how far she will go to protect him from terrifying forces in her past."
Drama,"Comedy, Drama, Romance","Follows two parallel love stories in which the partners are thwarted by hidden, inevitable obstacles, the force of superstition, and the mechanics of power."
Drama,"Drama, Horror, Mystery, Thriller","Months after disappearance, the mother of a missing daughter begins her own increasingly irrational investigation."
Comedy,Drama,"Once a wealthy gentleman, Wai was flocked by many single and available women. Now penniless, his ""romantic"" touch has suddenly disappeared. Follow the adventures of Wai and his renewed quest for wealth, romance, and love."
"Comedy, Family, Romance, TV Movie","Comedy, Drama, Family","After her sister and brother-in-law's tragic deaths, an American woman who is the guardian for her young niece and nephew is invited to a royal European castle for Christmas by her late brother-in-law's father, the Duke of Castlebury. Feeling out of place as a commoner, she is determined to give her family a merry Christmas and surprises herself when she falls for a handsome prince."
Horror,"Horror, Thriller","Set in Las Vegas, the film centers on a man who attends his best friend's bachelor party, unaware of an insidious agenda that plays into hunting humans."
"Action, Comedy, Horror, Western","Action, Horror, Science Fiction, Thriller","This prequel of the bone-chilling Tremors begins in the town of Rejection, Nev., in 1889, where 17 men die under mysterious circumstances. Spooked by recent events, the miners who populate the town leave in droves until there's nothing left but a shell of a community. It's up to the remaining residents to get to the bottom of the deaths -- but they must do so before they, too, are eradicated off the face of the planet."
"Action, Comedy","Action, Crime, Thriller","Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot."
"Horror, Thriller","Horror, Thriller","An eccentric professor takes four of his students to the mansion of the “Mad Hatter”, an urban legend driven insane by mercury poisoning and grief. He says that there’s nothing to worry about now: the strange, shambling “caretakers” that haunt the home are merely servants that have fallen to inbreeding, and the Hatter himself has been dead for years. But as the students start disappearing one by one, those that remain start to question if the professor’s experiment is truly scientific...and if the Hatter didn’t just succumb to his madness, but decided to spread it..."
"Drama, Romance","Drama, Romance","An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real."
"Action, Adventure, Comedy, Science Fiction","Action, Adventure, Animation, Science Fiction","In a post-apocalyptic wasteland, an orphaned teen must battle a ruthless warlord to save the girl of his dreams."
"Action, Adventure, Drama, History, War","Action, Adventure, Drama, History, War","When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
"Drama, Romance, Western",Drama,"Retired wealthy sea captain Jim McKay arrives in the vast expanse of the West to marry fiancée Pat Terrill. McKay is a man whose values and approach to life are a mystery to the ranchers and ranch foreman Steve Leech takes an immediate dislike to him. Pat is spoiled, selfish and controlled by her wealthy father, Major Henry Terrill. The Major is involved in a ruthless civil war, over watering rights for cattle, with a rough hewn clan led by Rufus Hannassey. The land in question is owned by Julie Maragon and both Terrill and Hannassey want it."
"Horror, Thriller","Horror, Mystery, Thriller","Seventeen-year-old Jesse has been hearing terrifying sounds coming from his neighbor’s apartment, but when he turns on his camera and sets out to uncover their source, he encounters an ancient evil that won’t rest until it’s claimed his very soul."
"Drama, Romance","Drama, Romance","Yeon-du asks her best friend Bora to collect all the information she can about Baek Hyun-jin while she is away in the U.S. for heart surgery. Bora decides to get close to Baek's best friend, Pung Woon-ho first. However, Bora's clumsy plan unfolds in an unexpected direction. In 1999, a year before the new century, Bora, who turns seventeen, falls into the fever of first love."
"Action, Crime, Thriller","Action, Adventure, Comedy, Crime",Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.
"Animation, Family","Adventure, Animation, Comedy, Family, Fantasy","Liana and Alexa (Barbie and Teresa) are best friends who share everything, including their love of singing. One day while walking through the forest home from the village, the girls meet an old beggar who gives them a magical mirror. As they clean the mirror and sing, a musical apprentice muse named Melody appears in the mirror's surface, and tells the girls about the secret of the Diamond Castle."
"Comedy, Drama, Romance","Comedy, Drama, Romance","A New Yorker moves to Los Angeles in order to figure out his life while he housesits for his brother, and he soon sparks with his brother's assistant."
"Action, Adventure, Animation, Comedy, Family, Fantasy","Adventure, Animation, Comedy, Family, Fantasy","There's trouble brewing in Bikini Bottom. Someone has stolen King Neptune's crown, and it looks like Mr. Krab, SpongeBob's boss, is the culprit. Though he's just been passed over for the promotion of his dreams, SpongeBob stands by his boss, and along with his best pal Patrick, sets out on a treacherous mission to Shell City to reclaim the crown and save Mr. Krab's life."
"Crime, Thriller","Action, Crime, Thriller","Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy."
"Comedy, Drama","Comedy, Drama, Romance","When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down."
"Horror, Thriller","Drama, Horror, Mystery, Thriller","Two people, a man and a woman, wake up naked and with their abdomens attached to each other."
"Animation, Family, Fantasy","Adventure, Animation, Comedy, Family, Fantasy","A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own."
"Drama, Romance","Drama, Romance","Struggling martial artist and dancer Bruno loves his girlfriend Carla, but when he meets fellow dancer Rai, serious sparks begin to fly, opening the couple up to new possibilities. A new generation navigates sexual fluidity, torn affections, and open relationships in this complicated love triangle."
"Action, Thriller","Action, Crime, Thriller","When Major Susan Turner is arrested for treason, ex-investigator Jack Reacher undertakes the challenging task to prove her innocence and ends up exposing a shocking conspiracy."
Horror,"Drama, Horror, Mystery, Thriller","A psychic participates in a séance where she sees a vision of a Dunwich priest hanging himself in a church cemetery, causing her to die of fright. New York City reporter Peter Bell investigates the séance and learns that the priest's suicide has somehow opened a portal to Hell and must be sealed by All Saints Day, or else the dead will overtake humanity."
"Action, Adventure, Drama, Romance","Drama, Thriller","A shipping disaster in the 19th Century has stranded a man and woman in the wilds of Africa. The lady is pregnant, and gives birth to a son in their tree house. Soon after, a family of apes stumble across the house and in the ensuing panic, both parents are killed. A female ape takes the tiny boy as a replacement for her own dead infant, and raises him as her son. Twenty years later, Captain Phillippe D'Arnot discovers the man who thinks he is an ape. Evidence in the tree house leads him to believe that he is the direct descendant of the Earl of Greystoke, and thus takes it upon himself to return the man to civilization."
"Drama, Thriller","Action, Crime, Drama, Thriller","Police officer Asger Holm, demoted to desk work as an alarm dispatcher, answers a call from a panicked woman who claims to have been kidnapped. Confined to the police station and with the phone as his only tool, Asger races against time to get help and find her."
"Horror, Mystery","Horror, Thriller","Five people travelling by camper crash into a tree. When they recover, the road they were driving on has been replaced by an impenetrable forest and a wooden house."
"Action, Crime, Drama","Comedy, Drama, Romance","A Dickens classic brought thrillingly up to date in the teeming heartland of modern London, where a group of street smart young hustlers plan the heist of the century for the ultimate payday."
"Comedy, Romance","Comedy, Drama, Romance","Matthew Hollis is man on holiday in Rio with his best friend. Both men have teenage daughters with them. When Matthew falls for his best friend's amorous daughter named Jennifer, they embark on a secret, if slightly one-sided relationship. Jennifer's father is furious when he finds out about the 'older man' in his daughter's life, and sets out to hunt him down with the aid of Matthew!"
Horror,"Crime, Drama, Mystery, Thriller","After two impoverished teenage brothers manage to escape their abusive father, they embark on a treacherous and haunted journey in the hope of finding their estranged mother who has joined a sadistic cult, deep in the woods of Northwest Pennsylvania."
Drama,"Drama, Mystery, Thriller","A novelist attends the trial of a woman accused of killing her 15-month-old daughter by abandoning her to the rising tide on a beach in northern France. But as the trial continues, her own family history, doubts, and fears about motherhood are steadily dislodged as the life story of the accused is gradually revealed."
"Animation, Family","Adventure, Animation, Comedy, Family, Fantasy","Wart is a young boy who aspires to be a knight's squire. On a hunting trip he falls in on Merlin, a powerful but amnesiac wizard who has plans for him beyond mere squiredom. He starts by trying to give him an education, believing that once one has an education, one can go anywhere. Needless to say, it doesn't quite work out that way."
"Drama, Thriller","Drama, Horror, Thriller",20 men are chosen to participate in the roles of guards and prisoners in a psychological study that ultimately spirals out of control.
"Action, Drama",Drama,"Picking up after the events of Never Back Down 2, former MMA champion Case Walker is on the comeback trail to become champion once again."
Drama,"Drama, Romance",A veteran actress comes face-to-face with an uncomfortable reflection of herself when she agrees to take part in a revival of the play that launched her career 20 years earlier.
"Crime, Mystery, Thriller","Drama, Thriller","While undergoing heart surgery, a man experiences a phenomenon called ‘anesthetic awareness’, which leaves him awake but paralyzed throughout the operation. As various obstacles present themselves, his wife must make life-altering decisions while wrestling with her own personal drama."
"Adventure, Animation, Comedy, Family","Adventure, Animation, Comedy, Family, Fantasy","Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started."
"Action, Crime, Thriller","Action, Crime, Thriller",Cool black private eye John Shaft is hired by a crime lord to find and retrieve his kidnapped daughter.
"Drama, Romance, Thriller","Action, Comedy, Crime, Drama, Thriller","A story about a seemingly unlikely couple who cross paths under life-threatening circumstances as though they are destined not only to meet but to save each other's lives. Not once, but twice."
Crime,Comedy,"Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters."
"Fantasy, Horror","Action, Horror, Science Fiction, Thriller","During a failed art heist, the Djinn is once again liberated. This time, to complete the 1001 wishes that he needs before the final 3, he lets himself go to prison, where he starts his evil reign twisting the hopes of the prisoners. Meanwhile, the woman who set him free accidentally, Morgana, tries to find a way to stop him, aided by a young priest."
"Drama, Music, Romance","Comedy, Drama, Romance","Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans."
"Action, Adventure, Drama, Fantasy","Action, Adventure, Animation, Fantasy","When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential."
"Animation, Comedy, Family, Mystery",Comedy,"The gang find themselves in a tinsel-town twist! While on a VIP tour of the legendary Brickton Studios, Scooby and friends get a first-hand experience of the rumored hauntings when classic movie monsters drop in for a creepy casting call."
"Documentary, Music","Comedy, Drama, Romance","On the 10th anniversary of Violetta’s release, Tini gets together with her former castmates to celebrate, giving her fans an intimate, unique, and unforgettable show. Tini, Jorge Blanco, Candelaria Molfese, and Mercedes Lambre gave the audience a night to remember with their new versions of five of the show’s songs."
"Action, Adventure, Science Fiction","Action, Adventure, Animation, Science Fiction","Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future."
"Animation, Family, Science Fiction","Adventure, Animation, Comedy, Family, Fantasy","Get ready to power up! When Barbie magically gets pulled into her favorite video game, she is excited to see she's transformed into a fun roller-skating character. In the game, she meets Cutie, the lovable cloud-shaped friend, and Bella, the roller-skating princess. Together, they soon discover a mischievous emoji is trying to take control of the game. As they travel from level to level, Barbie must rely on her amazing gaming skills and out-of-the box thinking to save her team and beat the game!"
"Action, Animation, Comedy, Family, Science Fiction","Adventure, Animation, Comedy, Family, Fantasy","When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes."
"Action, Fantasy, TV Movie","Action, Adventure, Thriller","The wolves are howling once again, as a terrifying ancient evil emerges in Beacon Hills. Scott McCall, no longer a teenager yet still an Alpha, must gather new allies and reunite trusted friends to fight back against this powerful and deadly enemy."
"Drama, History, War","Action, Adventure, Drama, Thriller","In 1943, two British intelligence officers concoct Operation Mincemeat, wherein their plan to drop a corpse with false papers off the coast of Spain would fool Nazi spies into believing the Allied forces were planning to attack by way of Greece rather than Sicily."
"Horror, Mystery, Thriller","Drama, Horror, Mystery, Thriller","After a young couple moves into a remote farmhouse with their infant son, the woman's struggles with postpartum psychosis begin to intensify... as the house reveals secrets of its own."
"Crime, Drama","Crime, Drama, Mystery, Thriller","Idealistic young attorney Adam Hall takes on the death row clemency case of his racist grandfather, Sam Cayhall, a former Ku Klux Klan member he has never met."
"Action, Animation, Science Fiction","Action, Adventure, Animation, Science Fiction","In the year 2029, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop a highly-wanted hacker known as 'The Puppetmaster'.  Ghost in the Shell 2.0 is a reproduced version of its original 1995 counterpart. Among a numerous enhancements, for the film's 2.0 release, were a number of scenes were overhauled with 3D animation, visual improvements, and soundtrack rerecorded in 6.1 surround sound."
"Action, Horror, Thriller","Horror, Thriller","When a small Colorado town is overrun by the flesh hungry dead, a small group of survivors try to escape in a last ditch effort to stay alive."
Drama,"Crime, Drama, Thriller","The story of Rubin ""Hurricane"" Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence."
"Crime, Drama, History","Crime, Drama, Thriller","Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years."
"Animation, Fantasy, Mystery","Action, Adventure, Animation, Fantasy","Following Madoka's rewriting of the universe, sacrificing herself and her happy normal days to save all magical girls from the cruel fate that awaited them by wiping witches out of existence, the despair still manifest into creatures known as nightmares. Magical girl Homura Akemi continues to fight alone in the hope that she will be able to see Madoka smile again."
"Action, Crime, Thriller","Action, Crime, Thriller","Officer Chan Ka Kui manages to put a major Hong Kong drug dealer behind the bars practically alone, after a shooting and an impressive chase inside a slum. Now, he must protect the boss' secretary, Selina, who will testify against the gangster in court."
"Comedy, Crime","Action, Comedy, Crime","After hiding his loot and getting thrown in jail, Ruby, a brooding outlaw encounters Quentin, a dim-witted and garrulous giant who befriends him. After Quentin botches a solo escape attempt, they make a break together. Unable to shake the clumsy Quentin Ruby is forced to take him along as he pursues his former partners in crime to avenge the death of the woman he loved and get to the money."
"Action, Crime, Drama","Action, Crime, Drama, Thriller","The amazing true story of Billy Moore, an English boxer incarcerated in Thailand’s most notorious prison. Thrown into a world of drugs and violence, he finds his best chance to escape is to fight his way out in prison Muay Thai tournaments."
"Adventure, Animation, Drama, Fantasy, Romance","Action, Adventure, Animation, Family, Fantasy","The film centers on Asuna, a young girl who spends her solitary days listening to the mysterious music emanating from the crystal radio she received from her late father as a memento. One day while walking home she is attacked by a fearsome monster and saved mysterious boy named Shun. However, Shun disappears and Asuna embarks on a journey of adventure to the land of Agartha with her teacher Mr. Morisaki to meet a Shun again. Through her journey she comes to know the cruelty and beauty of the world, as well as loss."
